date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-02-27,Cathay Pacific,CA3642,Mumbai,Dubai,India,UAE,Boeing 737 MAX 8,158,Crew duty-time exceedance after long reroutes
2026-02-27,Cathay Pacific,CA8812,Paris,Doha,France,Qatar,Airbus A380-800,387,ATC flow restrictions — congestion
2026-02-27,Kuwait Airways,KU803,Dubai,Singapore,UAE,Singapore,Boeing 787-10 Dreamliner,240,ATC flow restrictions — congestion
2026-02-27,British Airways,BR3849,London,Kuwait City,UK,Kuwait,Airbus A380-800,105,Government travel ban
2026-02-28,Malaysia Airlines,MA101,Abu Dhabi,London,UAE,UK,Boeing 787-9 Dreamliner,185,Crew duty-time exceedance after long reroutes
2026-02-28,Pakistan International Airlines,PA2239,Karachi,Dubai,Pakistan,UAE,Airbus A320neo,376,ATC flow restrictions — congestion
2026-02-28,American Airlines,AM3826,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A320neo,307,Security risk — conflict zone
2026-02-28,Thai Airways,TH1856,Dubai,Bahrain,UAE,Bahrain,Airbus A350-900,257,Insurance restriction — war zone
2026-02-28,Delta Air Lines,DE2183,Doha,Paris,Qatar,France,Airbus A380-800,305,Government travel ban
2026-02-28,KLM,KL9688,Paris,Beirut,France,Lebanon,Airbus A350-900,436,Diplomatic advisory — do not fly
2026-02-28,KLM,KL3734,Dubai,New York,UAE,USA,Boeing 787-10 Dreamliner,340,Insurance restriction — war zone
2026-02-28,Emirates,EM3325,Beijing,Tehran,China,Iran,Airbus A330-300,124,Diplomatic advisory — do not fly
2026-02-28,Cathay Pacific,CA8807,Moscow,Tehran,Russia,Iran,Airbus A321neo,159,Airspace closure — NOTAM
2026-02-28,EgyptAir,EG4402,London,Riyadh,UK,Saudi Arabia,Boeing 737-800,156,Government travel ban
2026-02-28,Cathay Pacific,CA4629,Cairo,Dubai,Egypt,UAE,Boeing 737 MAX 8,192,Crew safety — company policy
2026-02-28,Cargolux,CA3369,London,Doha,UK,Qatar,Airbus A380-800,96,Crew duty-time exceedance after long reroutes
2026-02-28,Emirates SkyCargo,EM3896,Istanbul,Karachi,Turkey,Pakistan,Airbus A350-900,131,Insurance restriction — war zone
2026-02-28,Iran Air,IR2654,Dubai,Karachi,UAE,Pakistan,Boeing 777-300ER,165,Crew duty-time exceedance after long reroutes
2026-02-28,FedEx Express,FE4046,Mumbai,Dubai,India,UAE,Airbus A340-600,238,Crew duty-time exceedance after long reroutes
2026-02-28,Gulf Air,GU5746,Dubai,New York,UAE,USA,Boeing 777-200LR,328,Temporary corridor suspension — safety bulletin
2026-02-28,flydubai,FL5138,Islamabad,Dubai,Pakistan,UAE,Boeing 737-800,302,Security risk — conflict zone
2026-02-28,Ethiopian Airlines,ET8192,Istanbul,Karachi,Turkey,Pakistan,Boeing 737 MAX 8,232,Crew safety — company policy
2026-02-28,Iran Air,IR8742,Dubai,Paris,UAE,France,Airbus A330-300,259,Insurance restriction — war zone
2026-02-28,IndiGo,IN4735,Singapore,Dubai,Singapore,UAE,Boeing 737-800,225,ATC flow restrictions — congestion
2026-02-28,British Airways,BR9711,Cairo,Kuwait City,Egypt,Kuwait,Boeing 787-10 Dreamliner,170,ATC flow restrictions — congestion
2026-03-01,Emirates SkyCargo,EM4580,Islamabad,Dubai,Pakistan,UAE,Boeing 787-9 Dreamliner,338,Insurance restriction — war zone
2026-03-01,flydubai,FL1822,Moscow,Tehran,Russia,Iran,Boeing 777-200LR,127,Insurance restriction — war zone
2026-03-01,Air India,AI3812,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A340-600,361,Crew duty-time exceedance after long reroutes
2026-03-01,Saudi Arabian Airlines,SA345,Paris,Dubai,France,UAE,Airbus A320neo,135,ATC flow restrictions — congestion
2026-03-01,Emirates SkyCargo,EM9569,Frankfurt,Dubai,Germany,UAE,Boeing 737-800,143,ATC flow restrictions — congestion
2026-03-01,Jazeera Airways,JA9677,London,Bahrain,UK,Bahrain,Boeing 737 MAX 8,413,ATC flow restrictions — congestion
2026-03-01,American Airlines,AM4989,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A330-300,94,Security risk — conflict zone
2026-03-01,FedEx Express,FE1127,London,Singapore,UK,Singapore,Airbus A330-300,334,Airspace closure — NOTAM
2026-03-01,Thai Airways,TH4959,Frankfurt,Dubai,Germany,UAE,Boeing 737 MAX 8,450,Insurance restriction — war zone
