date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-02-28,Emirates,EM7129,Islamabad,Riyadh,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9215,10576,1361,9248.14,2.5
2026-02-28,Jazeera Airways,JA2519,Kuwait City,Cairo,Via Strait of Hormuz,Via Red Sea–Suez route,4869,5491,622,2815.16,3.6
2026-02-28,Air India,AI188,Doha,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3587,4856,1269,8542.65,1.0
2026-02-28,Ethiopian Airlines,ET4033,Dubai,Mumbai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11415,13536,2121,13194.93,5.5
2026-02-28,Saudi Arabian Airlines,SA3737,Istanbul,Delhi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3274,5555,2281,9082.97,4.4
2026-02-28,Lufthansa,LU2270,Riyadh,Cairo,Direct Middle East overfly,Via Central Asian detour,4546,5784,1238,8361.89,1.1
2026-02-28,flydubai,FL5718,Istanbul,Karachi,Direct Tehran overfly,Via Ashgabat–Almaty route,11556,12484,928,5471.51,4.2
2026-02-28,Turkish Airlines,TU6664,Doha,Los Angeles,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7121,8964,1843,10083.03,2.6
2026-02-28,Cargolux,CA6319,Doha,New York,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4385,6921,2536,11962.45,2.8
2026-02-28,Emirates SkyCargo,EM6513,Dubai,London,Direct Tehran overfly,Via Ashgabat–Almaty route,2355,3376,1021,5031.01,1.7
2026-02-28,British Airways,BR152,Dubai,Amman,Direct Tehran overfly,Via Ashgabat–Almaty route,8959,10615,1656,6360.78,4.7
2026-02-28,Malaysia Airlines,MA5735,Doha,Lahore,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5851,6974,1123,5377.42,1.4
2026-02-28,Pakistan International Airlines,PA3876,Doha,Mumbai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7768,9126,1358,6362.61,3.9
2026-02-28,flydubai,FL5920,Dubai,Istanbul,Direct Middle East overfly,Via Central Asian detour,5361,6804,1443,7996.65,5.7
2026-02-28,DHL Aviation,DH1558,Dubai,Cairo,Direct Middle East overfly,Via Central Asian detour,2864,4805,1941,12247.73,3.2
2026-02-28,Air Arabia,AI4779,London,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8469,11211,2742,13227.79,5.0
2026-03-01,Etihad Airways,ET6117,Cairo,Kuwait City,Via Persian Gulf,Via Indian Ocean southern route,4248,7725,3477,15602.36,5.4
2026-03-01,Delta Air Lines,DE9068,Frankfurt,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,8327,9320,993,6219.13,3.0
2026-03-01,Ethiopian Airlines,ET6289,Riyadh,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8084,9898,1814,9402.62,4.4
2026-03-01,Kuwait Airways,KU4462,Delhi,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,11760,13094,1334,4829.33,3.9
2026-03-01,United Airlines,UN9936,Washington,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,11119,12119,1000,4081.95,1.0
2026-03-01,EgyptAir,EG732,Dubai,Mumbai,Direct Middle East overfly,Via Central Asian detour,8544,10250,1706,8619.42,2.8
2026-03-01,Cargolux,CA4765,Abu Dhabi,London,Via Baghdad FIR,Via Ankara–Baku corridor,3578,4169,591,2670.65,3.8
2026-03-01,Jazeera Airways,JA2514,London,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,5473,7428,1955,8037.33,5.8
2026-03-01,British Airways,BR2230,Karachi,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,3193,4643,1450,9460.98,0.8
2026-03-01,flydubai,FL711,Istanbul,Karachi,Via Baghdad FIR,Via Ankara–Baku corridor,10797,12079,1282,6201.78,2.8
2026-03-02,Ethiopian Airlines,ET7975,Riyadh,London,Direct Tehran overfly,Via Ashgabat–Almaty route,6759,7718,959,5374.54,4.8
2026-03-02,Oman Air,OM6035,Washington,Abu Dhabi,Via Baghdad FIR,Via Ankara–Baku corridor,9632,10769,1137,4069.6,1.8
2026-03-02,IndiGo,IN8637,Istanbul,Dubai,Direct Middle East overfly,Via Central Asian detour,9234,10404,1170,4140.07,4.5
2026-03-02,Lufthansa,LU4969,Dubai,Delhi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7931,10036,2105,11776.01,1.1
2026-03-02,Lufthansa,LU3916,Dubai,Frankfurt,Via Baghdad FIR,Via Ankara–Baku corridor,5205,6444,1239,5393.63,4.8
2026-03-02,Air India,AI3475,Istanbul,Tehran,Via Persian Gulf,Via Indian Ocean southern route,11771,14995,3224,17891.22,3.5
2026-03-02,Malaysia Airlines,MA7418,Dubai,Sydney,Via Strait of Hormuz,Via Red Sea–Suez route,5639,6567,928,5897.73,1.8
2026-03-02,Kuwait Airways,KU2464,Dubai,Paris,Via Persian Gulf,Via Indian Ocean southern route,3430,4878,1448,7372.57,1.5
2026-03-02,United Airlines,UN249,Beirut,Paris,Direct Middle East overfly,Via Central Asian detour,4711,6738,2027,9647.84,4.7
2026-03-02,DHL Aviation,DH2120,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,10152,11990,1838,8217.23,5.9
2026-03-02,Lufthansa,LU6534,Islamabad,Riyadh,Direct Middle East overfly,Via Central Asian detour,6687,8931,2244,12323.65,2.7
2026-03-02,Pakistan International Airlines,PA346,Karachi,Dubai,Direct Middle East overfly,Via Central Asian detour,3191,5058,1867,8527.91,4.7
2026-03-03,Jazeera Airways,JA3404,Delhi,Istanbul,Via Strait of Hormuz,Via Red Sea–Suez route,8062,8968,906,3938.88,3.5
2026-03-03,Ethiopian Airlines,ET9647,Dubai,Amman,Direct Middle East overfly,Via Central Asian detour,5427,6924,1497,9709.06,3.9
2026-03-03,flydubai,FL2370,Karachi,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4187,5161,974,6647.49,3.4
2026-03-03,Lufthansa,LU8629,New York,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,10722,11811,1089,4947.27,5.7
2026-03-03,Cargolux,CA4401,Beirut,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,6684,8135,1451,6138.89,3.2
2026-03-03,Etihad Airways,ET7151,Dubai,Karachi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3931,5136,1205,5455.95,4.8
2026-03-03,Jazeera Airways,JA3517,Singapore,Dubai,Via Persian Gulf,Via Indian Ocean southern route,4831,6123,1292,6780.11,3.9
2026-03-03,Cathay Pacific,CA3890,Kuwait City,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7530,9904,2374,13627.29,2.4
2026-03-03,Kuwait Airways,KU5166,Frankfurt,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5248,6134,886,3630.51,4.9
2026-03-03,Pakistan International Airlines,PA8070,Istanbul,Delhi,Direct Gulf route,Via Jordan–Egypt alternate,3661,4184,523,2513.54,6.0
2026-03-03,KLM,KL8000,Lahore,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,6222,7574,1352,9305.36,3.7
2026-03-03,Ethiopian Airlines,ET3326,London,Singapore,Direct Gulf route,Via Jordan–Egypt alternate,5244,5890,646,3698.87,4.6
2026-03-03,FedEx Express,FE1845,Dubai,Cairo,Via Baghdad FIR,Via Ankara–Baku corridor,5793,6863,1070,6324.89,3.0
2026-03-03,Saudi Arabian Airlines,SA1945,Muscat,London,Direct Gulf route,Via Jordan–Egypt alternate,4184,4812,628,3262.55,3.1
2026-03-03,Emirates SkyCargo,EM2274,Paris,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3879,5847,1968,8530.33,5.5
2026-03-03,Turkish Airlines,TU907,London,Doha,Direct Gulf route,Via Jordan–Egypt alternate,11403,12416,1013,4268.36,5.0
2026-03-04,Iran Air,IR6931,London,Kuwait City,Via Strait of Hormuz,Via Red Sea–Suez route,4550,5258,708,3522.87,2.6
2026-03-04,Jazeera Airways,JA2121,Doha,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3185,4554,1369,7412.04,2.8
2026-03-04,Cargolux,CA9278,Cairo,Kuwait City,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10608,12145,1537,10519.02,4.5
2026-03-04,DHL Aviation,DH7556,Dubai,Bahrain,Via Persian Gulf,Via Indian Ocean southern route,4091,5534,1443,9857.18,2.7
2026-03-04,Air Arabia,AI8904,Mumbai,Kuwait City,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4709,6495,1786,10002.87,2.0
2026-03-04,Air India,AI9845,Istanbul,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8335,9330,995,6039.55,0.6
2026-03-04,Mahan Air,MA9215,Doha,Los Angeles,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11899,13650,1751,6433.41,2.0
2026-03-04,Air India,AI6275,Riyadh,London,Via Persian Gulf,Via Indian Ocean southern route,4629,7471,2842,15047.04,3.1
2026-03-04,Air France,AI4889,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2279,3531,1252,6464.42,0.5
2026-03-04,EgyptAir,EG9589,Karachi,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,8807,10046,1239,6834.36,3.7
2026-03-04,United Airlines,UN7505,Singapore,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2129,3611,1482,8920.97,4.3
2026-03-04,Ethiopian Airlines,ET3116,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,11443,12859,1416,9365.11,3.4
2026-03-04,Air Arabia,AI2337,Dubai,Karachi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6846,9243,2397,11318.81,5.1
2026-03-04,Ethiopian Airlines,ET9968,Singapore,London,Via Persian Gulf,Via Indian Ocean southern route,9649,11438,1789,9269.27,3.1
2026-03-05,Iran Air,IR8079,London,Abu Dhabi,Via Baghdad FIR,Via Ankara–Baku corridor,7706,9122,1416,9490.3,1.9
2026-03-05,Thai Airways,TH6761,Islamabad,Dubai,Via Persian Gulf,Via Indian Ocean southern route,10245,11668,1423,5210.14,4.1
2026-03-05,American Airlines,AM6648,Dubai,Bahrain,Via Persian Gulf,Via Indian Ocean southern route,11402,14328,2926,14796.2,5.9
2026-03-05,Mahan Air,MA7186,Cairo,Riyadh,Via Strait of Hormuz,Via Red Sea–Suez route,5820,7618,1798,7000.96,5.3
2026-03-05,Pakistan International Airlines,PA1814,Delhi,Istanbul,Direct Tehran overfly,Via Ashgabat–Almaty route,5599,6470,871,5435.32,2.5
2026-03-05,Thai Airways,TH8501,Sydney,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,5292,6625,1333,5238.0,2.6
2026-03-05,Singapore Airlines,SI2018,Abu Dhabi,London,Direct Tehran overfly,Via Ashgabat–Almaty route,10459,11283,824,4347.37,5.7
2026-03-05,EgyptAir,EG8746,Mumbai,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,11611,12730,1119,5673.2,2.8
2026-03-05,Malaysia Airlines,MA9140,Kuwait City,London,Direct Tehran overfly,Via Ashgabat–Almaty route,11045,13032,1987,7119.15,5.9
2026-03-05,Oman Air,OM2735,Mumbai,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,2535,3246,711,2959.01,3.7
2026-03-05,Ethiopian Airlines,ET9485,Dubai,Singapore,Via Persian Gulf,Via Indian Ocean southern route,2122,4036,1914,12685.69,1.2
2026-03-05,DHL Aviation,DH6060,Delhi,Istanbul,Via Baghdad FIR,Via Ankara–Baku corridor,7257,7898,641,4200.65,2.1
2026-03-05,Pakistan International Airlines,PA8027,Tehran,Istanbul,Direct Gulf route,Via Jordan–Egypt alternate,10008,10442,434,2447.83,1.3
2026-03-05,United Airlines,UN1166,Dubai,Karachi,Via Strait of Hormuz,Via Red Sea–Suez route,6544,7759,1215,7141.36,3.9
2026-03-05,FedEx Express,FE5066,Paris,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,11427,12557,1130,4073.17,5.7
2026-03-05,Singapore Airlines,SI5784,London,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,2109,3189,1080,4531.84,5.9
2026-03-05,Lufthansa,LU740,Doha,Paris,Direct Tehran overfly,Via Ashgabat–Almaty route,8366,10150,1784,6542.47,2.3
2026-03-06,Ethiopian Airlines,ET601,Kuwait City,Mumbai,Direct Tehran overfly,Via Ashgabat–Almaty route,4031,5044,1013,5138.12,2.8
2026-03-06,Saudi Arabian Airlines,SA5500,Mumbai,Kuwait City,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7581,8491,910,3749.99,4.1
2026-03-06,Etihad Airways,ET7561,Kuwait City,Mumbai,Direct Middle East overfly,Via Central Asian detour,8544,10284,1740,6596.1,0.4
2026-03-06,KLM,KL3913,Cairo,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,5421,6516,1095,5848.6,1.3
2026-03-06,Turkish Airlines,TU1978,Dubai,Cairo,Direct Middle East overfly,Via Central Asian detour,4797,6762,1965,10129.44,0.7
2026-03-06,EgyptAir,EG6230,London,Singapore,Direct Middle East overfly,Via Central Asian detour,5415,6588,1173,7095.63,2.3
2026-03-06,Singapore Airlines,SI7679,New York,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,11634,12651,1017,4683.64,5.7
2026-03-06,American Airlines,AM7913,Dubai,Istanbul,Via Strait of Hormuz,Via Red Sea–Suez route,4335,5221,886,3657.39,1.5
2026-03-06,FedEx Express,FE5742,London,Muscat,Via Baghdad FIR,Via Ankara–Baku corridor,4102,5029,927,4140.96,1.1
2026-03-06,FedEx Express,FE3497,Amman,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,10124,11015,891,5206.39,3.6
2026-03-06,Turkish Airlines,TU3259,Karachi,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,11388,12669,1281,6626.34,6.0
2026-03-06,Etihad Airways,ET8958,Istanbul,Tehran,Via Persian Gulf,Via Indian Ocean southern route,11787,14852,3065,15146.42,0.6
2026-03-06,Jazeera Airways,JA2594,Abu Dhabi,London,Direct Tehran overfly,Via Ashgabat–Almaty route,11926,13401,1475,9915.33,2.9
2026-03-06,KLM,KL2029,Cairo,Kuwait City,Via Strait of Hormuz,Via Red Sea–Suez route,3678,5078,1400,6166.2,2.2
2026-03-06,Etihad Airways,ET9792,London,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,2306,2792,486,3168.86,5.9
2026-03-07,Turkish Airlines,TU4968,Delhi,Istanbul,Via Baghdad FIR,Via Ankara–Baku corridor,7389,7911,522,2911.77,1.7
2026-03-07,FedEx Express,FE4137,Beijing,Tehran,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7506,8456,950,4558.79,2.0
2026-03-07,United Airlines,UN5353,Riyadh,Islamabad,Direct Tehran overfly,Via Ashgabat–Almaty route,9408,10382,974,3897.36,1.8
2026-03-07,FedEx Express,FE4911,Beirut,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,3145,3912,767,2805.0,4.5
2026-03-07,flydubai,FL1586,Riyadh,Cairo,Via Baghdad FIR,Via Ankara–Baku corridor,10722,12197,1475,8598.45,1.2
2026-03-07,Thai Airways,TH9088,Dubai,Karachi,Direct Middle East overfly,Via Central Asian detour,6749,8340,1591,9356.88,2.4
2026-03-07,EgyptAir,EG9804,Amman,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,8777,9905,1128,5477.9,2.9
2026-03-07,Oman Air,OM3595,Delhi,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11635,12444,809,3716.82,2.3
2026-03-07,Pakistan International Airlines,PA3984,London,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,7031,7638,607,2402.02,5.5
2026-03-07,Thai Airways,TH6549,New York,Doha,Direct Gulf route,Via Jordan–Egypt alternate,10052,10705,653,3099.28,2.2
2026-03-07,American Airlines,AM5749,Dubai,Istanbul,Via Strait of Hormuz,Via Red Sea–Suez route,10100,11855,1755,11112.57,4.3
2026-03-07,Emirates SkyCargo,EM1041,Cairo,Riyadh,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5028,7616,2588,11127.12,3.5
2026-03-07,British Airways,BR7621,Kuwait City,Cairo,Direct Tehran overfly,Via Ashgabat–Almaty route,3223,4964,1741,10673.51,3.2
2026-03-07,DHL Aviation,DH3626,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,10835,11649,814,5271.44,4.2
2026-03-08,Malaysia Airlines,MA2169,Istanbul,Karachi,Direct Middle East overfly,Via Central Asian detour,4752,5982,1230,5197.49,2.8
2026-03-08,Ethiopian Airlines,ET5713,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,8497,8972,475,2644.67,0.5
2026-03-08,Singapore Airlines,SI9616,Kuwait City,Cairo,Via Baghdad FIR,Via Ankara–Baku corridor,3142,4592,1450,6788.47,1.1
2026-03-08,Iran Air,IR2222,Karachi,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,5917,7112,1195,7256.34,2.4
2026-03-08,Cathay Pacific,CA2523,Riyadh,London,Via Baghdad FIR,Via Ankara–Baku corridor,4840,6320,1480,5420.45,1.5
2026-03-08,Qatar Airways,QA7542,Singapore,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9653,11814,2161,9137.32,4.3
2026-03-08,Air Arabia,AI7213,Paris,Doha,Direct Middle East overfly,Via Central Asian detour,5235,6248,1013,6685.62,1.7
2026-03-08,flydubai,FL3919,Frankfurt,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,8631,9544,913,5536.19,0.9
2026-03-08,KLM,KL5506,Washington,Abu Dhabi,Via Baghdad FIR,Via Ankara–Baku corridor,2384,3240,856,4865.2,3.9
2026-03-08,Cargolux,CA4230,London,Kuwait City,Direct Middle East overfly,Via Central Asian detour,4310,5319,1009,4108.79,1.8
2026-03-08,EgyptAir,EG9570,Doha,Paris,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8599,10729,2130,13248.02,1.6
2026-03-08,Oman Air,OM5086,Istanbul,Karachi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5260,7405,2145,12943.03,1.8
2026-03-08,Lufthansa,LU6324,Mumbai,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,5018,5617,599,4182.33,6.0
2026-03-08,Emirates SkyCargo,EM7164,New York,Doha,Direct Middle East overfly,Via Central Asian detour,6620,8354,1734,7930.34,4.0
2026-03-08,Air France,AI1387,Dubai,Frankfurt,Direct Middle East overfly,Via Central Asian detour,8543,10341,1798,9696.21,3.0
2026-03-08,Cathay Pacific,CA3534,Mumbai,Kuwait City,Direct Middle East overfly,Via Central Asian detour,4883,7274,2391,9355.72,4.4
2026-03-08,Delta Air Lines,DE5954,Lahore,Doha,Direct Gulf route,Via Jordan–Egypt alternate,7971,8890,919,3346.89,2.2
